"track_uri","track_name","artist_uri_s","artist_name_s","album_uri","album_name","album_artist_uri_s","album_artist_name_s","album_release_date","album_image_url","disc_number","track_number","track_duration_ms","track_preview_url","explicit","popularity","isrc","added_by","added_at","artist_genres","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","album_genres","label","copyrights"
"spotify:track:1ssmjAYSU5PbmsjLq5yrNH","Never Give Up","spotify:artist:5WUlDfRSoLAfcVSX1WnrxN","Sia","spotify:album:3pOA3oohNOrloauSH9rd8n","Never Give Up (From ""Lion"" Soundtrack)","spotify:artist:5WUlDfRSoLAfcVSX1WnrxN","Sia","2016-11-18","https://i.scdn.co/image/ab67616d0000b273e839740212c6dbd8d559a709","1","1","221986","https://p.scdn.co/mp3-preview/11c4eaa50a5aede1823e3b959c936126789a9203?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USQX91602554","spotify:user:bradnumber1","2021-08-08T09:26:31Z","australian dance,australian pop,pop","0.568","0.936","6","-2.961","0","0.053","0.00497","0.0138","0.12","0.605","91.009","4","","Masterworks","P (P) 2016 Monkey Puzzle Records Inc."
"spotify:track:4h8VwCb1MTGoLKueQ1WgbD","Wake Me Up","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","Avicii","spotify:album:1s9tU91VJt4sU5owi29GD3","True","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","Avicii","2013-09-13","https://i.scdn.co/image/ab67616d0000b2734cfcceb6f9b1aae8752810e7","1","1","247426","","false","18","SEUM71301326","spotify:user:bradnumber1","2021-08-08T09:26:31Z","edm,pop,pop dance","0.532","0.783","2","-5.697","1","0.0523","0.0038","0.0012","0.161","0.643","124.08","4","","Universal Music AB","C © 2013 Avicii Music AB, under exclusive license to Universal Music AB, P ℗ 2013 Avicii Music AB, under exclusive license to Universal Music AB"
"spotify:track:52EWTw5ALe9OnjgAxX3Luo","Terrible Love","spotify:artist:2WX2uTcsvV5OnS0inACecP","Birdy","spotify:album:1WGjSVIw0TVfbp5KrOFiP0","Birdy","spotify:artist:2WX2uTcsvV5OnS0inACecP","Birdy","2011-11-04","https://i.scdn.co/image/ab67616d0000b273cdebae610076f51e8b7b20f4","1","11","283880","https://p.scdn.co/mp3-preview/be14f9ea85a2f1a18b3996dc3d9211e9b66bb29b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","GBAHS1100348","spotify:user:bradnumber1","2021-08-08T09:26:31Z","neo mellow,uk pop","0.46","0.451","2","-6.8","1","0.0252","0.497","0.00000491","0.155","0.144","77.928","4","","Atlantic Records UK","C © 2011 Jasmine Van den Bogaerde under exclusive licence to Warner Music UK Limited, P ℗ 2011 Jasmine Van den Bogaerde under exclusive licence to Warner Music UK Limited"
"spotify:track:3UN6cIn3VIyg0z1LCuFSum","Without You (feat. Usher)","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:23zg3TcAtWQy7J6upgbUnj","David Guetta, Usher","spotify:album:4bTjdxhRRUiWfwj200f9Kl","Nothing but the Beat (Ultimate Edition)","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai","David Guetta","2012-12-07","https://i.scdn.co/image/ab67616d0000b2735c8cfe4b2c4aa89c9c92108e","1","4","208133","https://p.scdn.co/mp3-preview/dc7d9e45294e4f2ed194693a78e46e9a85fd1210?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","GB28K1100030","spotify:user:bradnumber1","2021-08-08T09:26:31Z","big room,dance pop,edm,pop,pop dance,atl hip hop,contemporary r&b,dance pop,pop,r&b,rap,south carolina hip hop,urban contemporary","0.608","0.614","2","-3.727","1","0.0285","0.227","0.00000406","0.157","0.402","127.884","4","","Parlophone (France)","C © 2012 What A Music Ltd., licence exclusive Parlophone Music France, P ℗ 2012 What A Music Ltd., licence exclusive Parlophone Music France"
"spotify:track:65UnVEqHActQfVQiAF81Ws","How We Do (Party)","spotify:artist:5CCwRZC6euC8Odo6y9X8jr","Rita Ora","spotify:album:72jwnHPKDGkMsiZSjIM6kU","How We Do (Party)","spotify:artist:5CCwRZC6euC8Odo6y9X8jr","Rita Ora","2012-03-20","https://i.scdn.co/image/ab67616d0000b27307b0f1cf9ecea00c7364e200","1","1","246173","https://p.scdn.co/mp3-preview/aa3ab824b58625da983804aa6e812ff437150f38?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","USQX91101878","spotify:user:bradnumber1","2021-08-08T09:26:31Z","dance pop,pop,uk pop","0.751","0.923","7","-4.031","1","0.0733","0.00427","0","0.109","0.734","116.03","4","","Roc Nation/Columbia","P (P) 2012 Roc Nation LLC, under exclusive license to Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:3TQbr3G3U5wlwEJejmqC1F","Never on the Day You Leave","spotify:artist:0hEurMDQu99nJRq8pTxO14","John Mayer","spotify:album:0jZFu2tihRJ65iYAo0oOtP","The Search for Everything","spotify:artist:0hEurMDQu99nJRq8pTxO14","John Mayer","2017-04-14","https://i.scdn.co/image/ab67616d0000b273c6bfaf942ed981d5c4c922e4","1","9","220866","https://p.scdn.co/mp3-preview/fcf1c9b1819f5075c375196dbe5e64fa4db8dc0d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","USSM11702696","spotify:user:bradnumber1","2021-08-08T09:26:31Z","neo mellow,singer-songwriter","0.536","0.355","2","-8.61","1","0.0259","0.733","0.0000122","0.138","0.22","139.888","4","","Columbia","P (P) 2017 Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:1KtD0xaLAikgIt5tPbteZQ","Thinking About You (feat. Ayah Marar)","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:4xQ2BGOBUXgjxO2PAhrIyS","Calvin Harris, Ayah Marar","spotify:album:7w19PFbxAjwZ7UVNp9z0uT","18 Months","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","2012-10-29","https://i.scdn.co/image/ab67616d0000b273dcef905cb144d4867119850b","1","15","247933","https://p.scdn.co/mp3-preview/5624d9a2a362b648ac87588a96e472a7d3046500?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","GBARL1201396","spotify:user:bradnumber1","2021-08-08T09:26:31Z","dance pop,edm,electro house,house,pop,progressive house,uk dance,jordanian pop","0.725","0.874","0","-3.715","0","0.0396","0.00262","0.000412","0.0958","0.748","127.985","4","","Columbia","P (P) 2012 Sony Music Entertainment UK Limited"
"spotify:track:63SevszngYpZOwf63o61K4","Nevermind","spotify:artist:3EOEK57CV77D4ovYVcmiyt","Dennis Lloyd","spotify:album:6c5gDwB7Xo58thk2vap4Ch","Nevermind","spotify:artist:3EOEK57CV77D4ovYVcmiyt","Dennis Lloyd","2017-06-30","https://i.scdn.co/image/ab67616d0000b2734dbdd4d3c69bec0d471fc479","1","1","156600","https://p.scdn.co/mp3-preview/53dfd244b22ffa132a91d7b224885f44c2a776ee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USHM91642610","spotify:user:bradnumber1","2021-08-08T09:26:31Z","israeli pop","0.6","0.688","5","-8.339","0","0.201","0.159","0.0000129","0.409","0.0793","99.977","4","","WM Italy","C © 2017 TIME SpA under exclusive license to Warner Music Italia S.r.l., P ℗ 2017 TIME SpA under exclusive license to Warner Music Italia S.r.l."
"spotify:track:4rJTwIvqbJLhvO5sKGOpgJ","Sunday Morning","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","spotify:album:7ERPhrxdBWkGo4HN1SuJSr","Songs About Jane: 10th Anniversary Edition","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","2012-06-05","https://i.scdn.co/image/ab67616d0000b273d5056d7ed504d47262e8bfe6","1","8","244880","","false","0","USJAY0300086","spotify:user:bradnumber1","2021-08-08T09:26:31Z","pop","0.609","0.779","0","-5.213","1","0.0519","0.0748","0","0.0702","0.786","88.036","4","","Universal Music Group","C © 2012 A&M/Octone Records, P ℗ 2012 A&M/Octone Records"
"spotify:track:2meEiZKWkiN28gITzFwQo5","Into You","spotify:artist:66CXWjxzNUsdJxJ2JdwvnR","Ariana Grande","spotify:album:3OZgEywV4krCZ814pTJWr7","Dangerous Woman","spotify:artist:66CXWjxzNUsdJxJ2JdwvnR","Ariana Grande","2016-05-20","https://i.scdn.co/image/ab67616d0000b2735f9393fda71e7df39b34defd","1","4","244453","","false","2","USUM71601827","spotify:user:bradnumber1","2021-08-08T09:26:31Z","pop","0.623","0.734","9","-5.948","1","0.107","0.0162","0.00000175","0.145","0.37","107.853","4","","Universal Records","C © 2016 Republic Records, a division of UMG Recordings, Inc., P ℗ 2016 Republic Records, a division of UMG Recordings, Inc."
"spotify:track:2QDO9sZ1qQn0NGMWPecYyo","Carry On (Her Letter To Him)","spotify:artist:21E3waRsmPlU7jZsS13rcj","Ne-Yo","spotify:album:4HPdvrPf9RGfJ2hNYrODpC","R.E.D. (Deluxe Edition)","spotify:artist:21E3waRsmPlU7jZsS13rcj","Ne-Yo","2012-01-01","https://i.scdn.co/image/ab67616d0000b27314f5c10de370e6d48d142629","1","10","236960","https://p.scdn.co/mp3-preview/1d91fc744616b43fc7e7576f41ab33676f0573bd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","USUM71212381","spotify:user:bradnumber1","2021-08-08T09:26:31Z","dance pop,pop,r&b,urban contemporary","0.496","0.453","8","-8.283","1","0.0377","0.362","0.000372","0.108","0.221","81.762","4","","Island Def Jam/Motown","C © 2012 Motown Records, a Division of UMG Recordings, Inc., P ℗ 2012 Motown Records, a Division of UMG Recordings, Inc."
